DataSetId,DataSetName,MeasureCode,MeasureName,ReportedMeasureCode,ReportedMeasureName,ReportingEndDate,ReportingStartDate
10102,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0598,Stone/s urinary tract - removal of,2023-06-30,2022-07-01
10103,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0599,Stress incontinence surgery,2023-06-30,2022-07-01
10104,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0600,Sub-mucosal resection,2023-06-30,2022-07-01
10105,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0601,Tendon release,2023-06-30,2022-07-01
10106,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0602,Tenotomy of hip,2023-06-30,2022-07-01
10107,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0603,Thyroglossal remnant - removal of,2023-06-30,2022-07-01
10108,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0604,Thyroidectomy/hemi-thyroidectomy,2023-06-30,2022-07-01
10109,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0605,Toenail surgery,2023-06-30,2022-07-01
10110,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0606,Trabeculectomy,2023-06-30,2022-07-01
10111,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0607,Trigger finger/thumb release,2023-06-30,2022-07-01
10112,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0608,Turbinectomy,2023-06-30,2022-07-01
10113,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0609,Untethering of spinal cord,2023-06-30,2022-07-01
10114,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0610,Ureteric - reimplantation,2023-06-30,2022-07-01
10115,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0611,Ureteric stent - insertion of,2023-06-30,2022-07-01
10116,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0612,Urethra - dilatation of,2023-06-30,2022-07-01
10117,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0613,Vaginal repair - anterior/posterior,2023-06-30,2022-07-01
10118,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0614,Vitrectomy (including buckling/cryotherapy),2023-06-30,2022-07-01
10119,ES 2019-20 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0615,Other procedure,2023-06-30,2022-07-01
10120,ES 2016-17 - Median waiting time for elective surgery 2022-23 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0616,Paediatric surgery,2023-06-30,2022-07-01
10121,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0617,Abdominal or thoracic aortic aneurysm - repair/replacement,2023-06-30,2022-07-01
10122,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0618,Acromioplasty/arthroscopy shoulder/sub acromial decompression,2023-06-30,2022-07-01
10123,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0619,Adenoidectomy,2023-06-30,2022-07-01
10124,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0620,Amputation of limb,2023-06-30,2022-07-01
10125,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0621,Anal fissure - repair of,2023-06-30,2022-07-01
10126,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0622,Anterior cruciate ligament reconstruction,2023-06-30,2022-07-01
10127,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0623,Arthrodesis,2023-06-30,2022-07-01
10128,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0624,Arthroplasty - revision of,2023-06-30,2022-07-01
10129,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0625,Arthroscopy,2023-06-30,2022-07-01
10130,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0626,Axillary node dissection,2023-06-30,2022-07-01
10131,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0627,Bartholin's abscess drainage,2023-06-30,2022-07-01
10132,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0628,Bartholin's cyst - removal of,2023-06-30,2022-07-01
10133,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0629,Bladder neck incision,2023-06-30,2022-07-01
10134,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0630,Blepharoplasty,2023-06-30,2022-07-01
10135,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0631,Branchial apparatus remnant - removal of,2023-06-30,2022-07-01
10136,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0632,Breast lump - excision and/or biopsy,2023-06-30,2022-07-01
10137,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0633,Breast prosthesis - removal of,2023-06-30,2022-07-01
10138,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0634,Breast reconstruction,2023-06-30,2022-07-01
10139,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0635,Breast reduction,2023-06-30,2022-07-01
10140,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0636,Bunion (hallux valgus) - removal of,2023-06-30,2022-07-01
10141,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0637,Carotid endarterectomy,2023-06-30,2022-07-01
10142,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0638,Carpal tunnel release,2023-06-30,2022-07-01
10143,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0639,Cerebral haematoma - evacuation of,2023-06-30,2022-07-01
10144,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0640,Cervical discectomy and fusion,2023-06-30,2022-07-01
10145,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0641,Chalazion - excision of,2023-06-30,2022-07-01
10146,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0642,Chiari malformation decompression,2023-06-30,2022-07-01
10147,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0643,Circumcision,2023-06-30,2022-07-01
10148,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0644,Cleft lip and palate - repair of,2023-06-30,2022-07-01
10149,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0645,Colectomy/anterior resection/large bowel resection,2023-06-30,2022-07-01
10150,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0646,Common peroneal nerve release,2023-06-30,2022-07-01
10151,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0647,Cone biopsy,2023-06-30,2022-07-01
10152,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0648,Congenital cardiac defect/s - procedure for,2023-06-30,2022-07-01
10153,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0649,Congenital pulmonary lesion - removal of,2023-06-30,2022-07-01
10154,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0650,Corneal graft,2023-06-30,2022-07-01
10155,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0651,Cranioplasty,2023-06-30,2022-07-01
10156,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0652,Craniotomy,2023-06-30,2022-07-01
10157,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0653,Curettage and evacuation of uterus,2023-06-30,2022-07-01
10158,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0654,Cystectomy,2023-06-30,2022-07-01
10159,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0655,Dacryocystorhinostomy,2023-06-30,2022-07-01
10160,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0656,Dermoid cyst - removal of,2023-06-30,2022-07-01
10161,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0657,Dialysis access surgery,2023-06-30,2022-07-01
10162,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0658,Diathermy of wart/s,2023-06-30,2022-07-01
10163,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0659,Discectomy,2023-06-30,2022-07-01
10164,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0660,Dupytren's contracture release,2023-06-30,2022-07-01
10165,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0661,Ectropion - correction of,2023-06-30,2022-07-01
10166,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0662,Endometrial ablation,2023-06-30,2022-07-01
10167,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0663,Epididymal cyst - removal of,2023-06-30,2022-07-01
10168,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0664,Ethmoidectomy,2023-06-30,2022-07-01
10169,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0665,Examination of eye under anaesthesia,2023-06-30,2022-07-01
10170,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0666,Exostosis - excision of,2023-06-30,2022-07-01
10171,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0667,Female sterilisation,2023-06-30,2022-07-01
10172,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0668,Femoro-popliteal bypass graft,2023-06-30,2022-07-01
10173,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0669,Fracture non-union - treatment of,2023-06-30,2022-07-01
10174,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0670,Functional endoscopic sinus surgery,2023-06-30,2022-07-01
10175,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0671,Fundoplication,2023-06-30,2022-07-01
10176,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0672,Ganglion - excision of,2023-06-30,2022-07-01
10177,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0673,Hammer/claw/mallet toe - correction of,2023-06-30,2022-07-01
10178,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0674,Heart valve replacement,2023-06-30,2022-07-01
10179,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0675,Herniorrhaphy,2023-06-30,2022-07-01
10180,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0676,Hydrocele - repair of,2023-06-30,2022-07-01
10181,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0677,Hypospadias - repair of,2023-06-30,2022-07-01
10182,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0678,"Hysteroscopy, dilatation and curettage",2023-06-30,2022-07-01
10183,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0679,Insertion of ventricular peritoneal shunt,2023-06-30,2022-07-01
10184,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0680,Laminectomy,2023-06-30,2022-07-01
10185,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0681,Laparoscopy,2023-06-30,2022-07-01
10186,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0682,Large loop excision of the transformation zone cervix (LLETZ),2023-06-30,2022-07-01
10187,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0683,Laryngectomy,2023-06-30,2022-07-01
10188,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0684,Lingual or maxillary frenulum surgery,2023-06-30,2022-07-01
10189,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0685,Lithotripsy,2023-06-30,2022-07-01
10190,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0686,Lobectomy/wedge resection/pneumonectomy,2023-06-30,2022-07-01
10191,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0687,Lymphangioma - surgery for,2023-06-30,2022-07-01
10192,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0688,Mastectomy,2023-06-30,2022-07-01
10193,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0689,Mastoidectomy,2023-06-30,2022-07-01
10194,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0690,Meatoplasty,2023-06-30,2022-07-01
10195,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0691,Meniscectomy,2023-06-30,2022-07-01
10196,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0692,Microlaryngoscopy,2023-06-30,2022-07-01
10197,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0693,Muscle biopsy/temporal artery biopsy,2023-06-30,2022-07-01
10198,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0694,Muscle or tendon length - change of,2023-06-30,2022-07-01
10199,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0695,Myomectomy,2023-06-30,2022-07-01
10200,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0696,Nasal cautery,2023-06-30,2022-07-01
10201,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0697,Nasal polypectomy,2023-06-30,2022-07-01
10202,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0698,Nasendoscopy,2023-06-30,2022-07-01
10203,ES 2018-19 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0699,Neonatal surgery,2023-06-30,2022-07-01
10204,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0700,Nephrectomy,2023-06-30,2022-07-01
10205,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0701,Nerve decompression,2023-06-30,2022-07-01
10206,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0702,Nerve decompression of spinal cord,2023-06-30,2022-07-01
10207,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0703,Orchidectomy,2023-06-30,2022-07-01
10208,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0704,Orchidopexy,2023-06-30,2022-07-01
10209,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0705,Osteotomy,2023-06-30,2022-07-01
10210,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0706,Parathyroidectomy,2023-06-30,2022-07-01
10211,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0707,Parotidectomy/submandibular gland - excision of,2023-06-30,2022-07-01
10212,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery 2022-23 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0708,Pectus surgery,2023-06-30,2022-07-01
